accuracy,loss,val_accuracy,val_loss
0.8082873225212097,0.6130241751670837,0.9247958660125732,0.23391929268836975
0.9147329926490784,0.26304903626441956,0.9385474920272827,0.19023051857948303
0.931583821773529,0.21322771906852722,0.9406961798667908,0.17748692631721497
0.939226508140564,0.18474024534225464,0.9445638060569763,0.16082637012004852
0.94935542345047,0.15794047713279724,0.9475719928741455,0.16023369133472443
0.9516574740409851,0.14519143104553223,0.9402664303779602,0.18467926979064941
0.9552485942840576,0.13630890846252441,0.9419853687286377,0.16233642399311066
0.9589318633079529,0.12342753261327744,0.9398366808891296,0.1682939976453781
0.9599447250366211,0.11867108941078186,0.9557369947433472,0.1547473520040512
0.96114182472229,0.11429356783628464,0.9553072452545166,0.14774614572525024
0.9628913402557373,0.10701149702072144,0.9565964937210083,0.15063253045082092
0.9662062525749207,0.1015234962105751,0.9587451815605164,0.1423545926809311
0.9647329449653625,0.09948039054870605,0.9596046209335327,0.151657372713089
0.9675874710083008,0.09502692520618439,0.9565964937210083,0.14948740601539612
0.9679558277130127,0.09399449825286865,0.9565964937210083,0.1441628783941269
