Model,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Time (seconds),Parameters
custom_cnn,0.6868556701030928,0.6805605744874625,0.6868556701030928,0.6727348061022242,383.21356773376465,111308
mobilenetv2,0.9407216494845361,0.9413561095535361,0.9407216494845361,0.9405553279953294,352.8486764431,2273356
mobilenetv2,0.9407216494845361,0.9413561095535361,0.9407216494845361,0.9405553279953294,352.8486764431,2273356
resnet50,0.9544673539518901,0.9553009311769203,0.9544673539518901,0.9545168424550553,844.0415894985199,23612300
