Model,Layer Name,Layer Type,Output Shape,Parameters
resnet50,input_layer_6,InputLayer,N/A,0
resnet50,data_augmentation,Sequential,"(None, 224, 224, 3)",0
resnet50,resnet50_preprocess,Lambda,N/A,0
resnet50,resnet50,Functional,"(None, 7, 7, 2048)",23587712
resnet50,global_average_pooling2d_3,GlobalAveragePooling2D,N/A,0
resnet50,dropout_3,Dropout,N/A,0
resnet50,dense_4,Dense,N/A,24588
