accuracy,loss,val_accuracy,val_loss
0.7502762675285339,0.8452405333518982,0.902019739151001,0.35270199179649353
0.8863720297813416,0.3786787986755371,0.9209282398223877,0.2632824182510376
0.9058011174201965,0.3057977259159088,0.9295229911804199,0.23556672036647797
0.9136279821395874,0.27800998091697693,0.9329608678817749,0.21743649244308472
0.9211786389350891,0.25464099645614624,0.9346798658370972,0.20206564664840698
0.9276242852210999,0.2307814061641693,0.9355393052101135,0.19278483092784882
0.9313075542449951,0.21684300899505615,0.9376879930496216,0.19819682836532593
0.9336096048355103,0.21061870455741882,0.9406961798667908,0.1920517235994339
0.9366482496261597,0.19721603393554688,0.9415556788444519,0.17948928475379944
0.9351749420166016,0.19702178239822388,0.9406961798667908,0.18497447669506073
0.9378452897071838,0.1895563155412674,0.9428448677062988,0.17988291382789612
0.940055251121521,0.1824558526277542,0.9424151182174683,0.1750401258468628
0.9422652125358582,0.17916470766067505,0.9454233050346375,0.17155703902244568
0.9437384605407715,0.17176908254623413,0.94370436668396,0.17677409946918488
0.9415285587310791,0.1738879680633545,0.94370436668396,0.17263957858085632
